aX,aY,aZ,gX,gY,gZ,ts
0.401,0.032,0.783,-9.094,-11.78,-7.263,1
0.357,0.017,0.81,-11.841,-7.935,-10.498,1
0.32,-0.01,0.839,-14.282,-3.54,-12.146,1
0.282,-0.032,0.864,-14.893,0.061,-13.123,1
0.255,-0.055,0.88,-14.526,-1.038,-15.076,1
0.236,-0.041,0.886,-13.062,-4.883,-16.479,1
0.232,-0.067,0.91,-12.573,-5.188,-16.418,1
0.2,-0.078,0.932,-12.207,-5.249,-17.517,1
1.668,0.646,-0.425,62.5,-44.678,-45.41,0
1.698,0.68,-0.442,62.073,-47.058,-60.669,0
1.663,0.665,-0.408,57.068,-52.49,-76.294,0
1.651,0.652,-0.363,54.688,-66.04,-89.417,0
1.681,0.615,-0.329,59.265,-83.13,-99.304,0
1.732,0.596,-0.309,71.838,-100.342,-107.3,0
1.827,0.609,-0.325,89.539,-114.38,-114.746,0
1.874,0.628,-0.297,105.042,-126.343,-124.329,0
1.926,0.648,-0.286,117.615,-136.353,-136.78,0
1.951,0.66,-0.282,124.756,-140.198,-153.442,0
1.907,0.656,-0.256,123.047,-134.583,-174.622,0
1.848,0.615,-0.262,115.601,-121.277,-196.35,0
1.72,0.576,-0.274,104.736,-101.868,-214.661,0
1.548,0.497,-0.259,91.919,-79.041,-227.112,0
1.408,0.441,-0.238,83.191,-56.58,-231.995,0
1.303,0.393,-0.217,79.773,-37.476,-231.75,0
1.18,0.366,-0.203,79.102,-19.958,-231.323,0
1.079,0.355,-0.221,76.355,-4.883,-232.666,0
0.913,0.341,-0.205,70.923,7.874,-235.474,0
0.818,0.266,-0.227,63.904,12.695,-239.563,0
0.711,0.236,-0.232,58.35,11.841,-243.408,0
0.585,0.183,-0.237,53.223,8.24,-247.253,0
0.533,0.126,-0.259,49.683,-0.061,-250.916,0
0.483,0.124,-0.295,45.593,-7.019,-254.395,0
0.431,0.077,-0.286,37.231,-8.606,-257.08,0
0.377,0.067,-0.301,30.029,-5.859,-257.324,0
0.125,0.068,-0.032,25.696,-3.906,-256.836,0
0.579,-0.125,-0.353,20.325,-36.865,-257.141,0
0.424,-0.026,-0.432,14.343,3.296,-212.708,0
0.139,0.031,-0.406,-3.479,29.602,-219.482,0
0.059,-0.115,-0.442,-20.203,17.639,-220.276,0
0.036,-0.129,-0.479,-38.94,5.005,-239.38,0
0.043,-0.065,-0.504,-50.659,-6.409,-221.619,1
-0.034,-0.155,-0.554,-70.251,-17.029,-200.012,1
-0.141,-0.118,-0.486,-95.642,-31.494,-205.2,1
0.047,-0.178,-0.467,-112.488,-52.49,-173.889,1
-0.15,-0.246,-0.371,-127.686,-56.946,-166.748,1
-0.005,-0.23,-0.299,-134.888,-46.448,-197.693,1
-0.019,-0.294,-0.296,-136.902,-25.391,-225.83,1
-0.18,-0.192,-0.259,-127.686,-0.916,-225.525,1
-0.284,-0.162,-0.223,-124.39,12.207,-193.42,1
-0.292,-0.218,-0.192,-128.967,14.832,-159.363,1
-0.315,-0.231,-0.194,-131.897,11.597,-141.846,1
-0.407,-0.187,-0.159,-133.911,3.296,-125.549,1
-0.453,-0.166,-0.159,-141.296,-15.747,-107.117,1
-0.432,-0.224,-0.082,-156.189,-38.696,-97.412,1
-0.477,-0.202,-0.043,-169.556,-60.425,-101.318,1
-0.483,-0.184,0.036,-178.894,-75.5,-93.628,1
-0.461,-0.227,0.096,-184.753,-84.229,-78.003,1
-0.455,-0.235,0.203,-181.824,-86.914,-58.472,1
-0.462,-0.261,0.321,-173.157,-84.29,-34.302,1
-0.437,-0.267,0.408,-161.133,-78.491,-11.414,1
-0.406,-0.234,0.463,-149.902,-67.688,7.996,1
-0.45,-0.186,0.498,-147.339,-52.795,25.024,1
-0.45,-0.106,0.557,-154.358,-41.748,41.077,1
