aX,aY,aZ,gX,gY,gZ,ts
0.982,-0.018,0.021,-1.709,7.812,-21.301,0
0.942,-0.053,0.038,-3.906,6.104,-26.733,0
0.934,0.023,0.045,-4.089,3.601,-29.541,0
0.937,-0.059,0.048,-6.042,0.61,-21.057,0
0.94,-0.076,0.04,-8.972,-0.671,-23.071,0
0.943,-0.043,0.041,-5.981,0.488,-22.4,0
0.923,-0.112,0.05,-7.935,2.258,-21.973,0
0.921,-0.093,0.053,-6.592,1.404,-22.278,0
0.932,-0.108,0.048,-4.578,0.854,-20.142,0
1.516,0.778,-0.644,-84.045,-159.302,80.2,0
1.596,0.785,-0.644,-89.05,-178.467,84.778,0
1.685,0.81,-0.62,-91.675,-191.284,77.209,0
1.786,0.863,-0.606,-95.703,-199.097,65.369,0
1.794,0.849,-0.531,-105.774,-200.928,58.655,0
1.749,0.888,-0.461,-110.657,-195.251,47.729,0
1.773,0.912,-0.352,-114.075,-191.772,31.006,0
1.834,0.8,-0.166,-117.493,-188.965,17.029,0
1.96,0.792,-0.01,-109.68,-181.702,-6.348,0
2.125,0.865,0.131,-95.642,-167.664,-36.072,0
2.211,0.897,0.238,-81.604,-136.536,-72.754,0
2.203,0.984,0.373,-64.27,-95.581,-114.624,0
2.196,1.104,0.467,-46.265,-52.673,-163.025,0
2.151,1.205,0.53,-34.18,-6.653,-213.318,0
1.995,1.29,0.533,-28.381,40.222,-260.132,0
1.721,1.309,0.477,-25.391,78.43,-299.255,0
1.482,1.28,0.391,-28.381,99.121,-335.51,0
1.318,1.226,0.313,-33.813,104.492,-364.197,0
1.162,1.14,0.252,-38.818,101.196,-383.606,0
1.027,1.038,0.238,-47.058,93.689,-401.917,0
0.954,0.922,0.242,-54.81,83.984,-422.241,0
0.948,0.834,0.245,-57.495,78.308,-443.054,0
0.886,0.819,0.238,-55.847,83.008,-454.529,0
0.712,0.74,0.237,-56.03,94.36,-457.52,0
0.568,0.661,0.255,-54.016,104.492,-452.759,0
0.485,0.581,0.231,-54.688,113.953,-452.393,0
0.385,0.515,0.19,-57.678,127.686,-453.613,0
