aX,aY,aZ,gX,gY,gZ,ts
0.497,0.003,0.706,17.761,9.399,-5.005,0
0.459,0.005,0.722,10.193,11.353,-4.822,0
0.431,-0.069,0.752,1.282,8.667,-3.845,0
0.43,-0.065,0.764,0.244,2.686,-2.075,0
0.413,-0.104,0.767,2.197,-3.784,1.465,0
0.422,-0.084,0.769,6.653,-11.292,2.502,0
0.434,-0.062,0.762,10.132,-17.822,5.493,0
0.467,-0.057,0.75,10.071,-20.203,8.179,0
0.484,-0.049,0.747,8.972,-18.921,9.521,0
0.498,-0.045,0.754,6.897,-14.343,8.972,0
1.688,0.698,-0.294,-15.137,-122.742,-45.532,0
1.807,0.637,-0.298,-24.414,-132.141,-62.317,0
1.729,0.648,-0.217,-37.781,-137.451,-72.693,0
1.792,0.741,-0.12,-32.715,-140.747,-85.876,0
1.904,0.578,-0.073,-37.537,-148.56,-114.685,0
1.891,0.473,-0.036,-42.603,-158.508,-131.775,0
1.893,0.422,0.004,-37.415,-166.321,-142.7,0
1.839,0.389,0.052,-31.616,-168.762,-154.846,0
1.764,0.345,0.092,-24.902,-166.809,-168.823,0
1.705,0.325,0.12,-14.648,-160.95,-182.861,0
1.639,0.325,0.156,-2.014,-149.658,-195.19,0
1.537,0.329,0.196,10.62,-135.742,-207.092,0
1.483,0.365,0.251,21.729,-121.338,-219.055,0
1.436,0.408,0.313,28.87,-106.323,-230.774,0
1.365,0.416,0.374,29.602,-89.539,-243.347,0
1.286,0.415,0.426,26.245,-71.777,-257.324,0
1.171,0.402,0.45,22.644,-53.406,-270.325,0
1.037,0.352,0.47,19.287,-36.499,-280.762,0
0.947,0.29,0.498,20.142,-23.254,-287.415,0
0.867,0.242,0.505,28.931,-15.869,-291.26,0
0.789,0.227,0.499,42.603,-12.146,-293.823,0
0.696,0.218,0.478,57.495,-9.094,-294.373,0
0.594,0.184,0.469,67.566,-7.263,-293.945,0
0.497,0.154,0.447,74.097,-6.714,-293.518,0
0.435,0.128,0.422,78.186,-9.399,-292.786,0
0.392,0.061,0.409,80.566,-16.357,-291.504,0
0.428,0.065,0.374,86.609,-22.522,-287.109,0
0.381,0.07,0.329,93.201,-19.958,-267.273,0
0.278,-0.064,0.299,93.14,-15.686,-249.146,0
0.224,-0.133,0.274,98.877,-15.259,-238.831,0
0.168,-0.156,0.244,109.558,-17.639,-232.849,0
0.131,-0.173,0.204,118.286,-21.729,-225.769,0
0.079,-0.2,0.149,124.756,-29.419,-213.928,0
0.056,-0.227,0.096,126.709,-37.72,-201.721,0
0.075,-0.228,0.03,123.779,-42.297,-190.125,0
0.077,-0.243,-0.031,114.746,-41.687,-177.856,0
0.057,-0.286,-0.074,102.783,-35.583,-165.466,0
0.023,-0.35,-0.098,91.797,-27.344,-151.428,0
-0.013,-0.457,-0.101,84.839,-18.86,-137.878,0
-0.04,-0.516,-0.103,84.778,-12.146,-127.197,0
-0.054,-0.535,-0.129,89.844,-8.911,-116.638,0
-0.126,-0.57,-0.193,93.994,-9.521,-103.455,0
-0.047,-0.636,-0.225,98.206,-9.277,-85.327,0
-0.064,-0.65,-0.291,103.333,-14.526,-70.679,0
-0.017,-0.613,-0.329,109.985,-18.005,-59.021,0
0.039,-0.565,-0.639,101.563,-21.118,-47.424,0
-0.147,-0.405,-1.047,64.941,-10.681,-24.78,0
-0.079,-0.657,-1.019,10.559,5.066,-13.367,0
0.038,-0.892,-0.788,-30.823,-4.578,-16.113,0
0.042,-0.816,-0.672,-32.471,-10.925,-19.348,0
0.131,-0.818,-0.66,-36.621,-8.545,-17.273,0
0.085,-0.803,-0.613,-49.316,-7.69,-6.226,0
0.096,-0.841,-0.586,-57.739,-17.029,8.911,0
0.093,-0.787,-0.588,-66.101,-28.076,17.761,0
0.087,-0.724,-0.6,-81.177,-29.053,20.691,0
0.089,-0.734,-0.556,-103.455,-27.893,27.954,0
0.083,-0.742,-0.463,-123.779,-31.372,34.485,0
0.101,-0.757,-0.359,-138.55,-35.706,39.856,0
0.068,-0.758,-0.276,-146.24,-40.405,44.25,0
0.078,-0.721,-0.212,-149.353,-50.598,51.086,0
0.098,-0.659,-0.163,-150.33,-65.674,60.974,0
0.145,-0.594,-0.121,-153.442,-79.346,68.665,0
0.159,-0.547,-0.071,-161.499,-89.661,73.12,0
0.159,-0.507,-0.001,-171.57,-99.365,76.782,0
0.159,-0.478,0.104,-181.396,-107.91,79.834,0
0.191,-0.476,0.216,-188.049,-112.305,83.435,0
0.24,-0.484,0.29,-188.293,-111.755,88.318,0
0.279,-0.466,0.343,-180.847,-106.689,92.834,0
0.304,-0.413,0.383,-169.861,-100.83,96.68,0
0.279,-0.365,0.452,-160.583,-95.886,101.318,0
0.333,-0.316,0.524,-153.564,-92.651,107.3,0
0.342,-0.307,0.57,-149.353,-93.018,112.61,0
0.411,-0.261,0.609,-144.592,-98.694,116.15,0
0.507,-0.209,0.676,-140.015,-106.506,113.647,0
0.641,-0.14,0.763,-137.451,-112,104.187,0
0.75,-0.079,0.858,-137.756,-108.154,90.149,0
0.831,-0.044,0.993,-142.334,-94.055,74.219,0
0.871,-0.032,1.143,-148.437,-70.557,58.289,0
0.88,-0.089,1.291,-152.649,-44.8,45.044,0
0.903,-0.129,1.408,-147.583,-22.888,36.743,0
0.913,-0.142,1.463,-133.24,-5.737,32.043,0
0.893,-0.126,1.49,-114.258,5.981,28.198,0
0.87,-0.097,1.5,-95.459,11.841,25.635,0
0.846,-0.102,1.489,-80.139,11.169,23.865,0
0.86,-0.132,1.456,-68.176,5.737,22.583,0
0.86,-0.14,1.401,-57.129,-0.122,20.813,0
0.871,-0.187,1.337,-47.668,-3.601,18.433,0
0.93,-0.266,1.255,-38.635,-3.967,16.418,0
0.825,-0.177,1.148,-29.968,-2.869,5.31,0
0.826,-0.202,1.125,-20.813,8.667,7.69,0
0.663,-0.25,1.032,-25.818,13.367,4.272,0
0.718,-0.388,1.029,-19.47,25.146,-1.038,0
0.626,-0.307,0.967,-10.559,20.02,-10.925,0
0.607,-0.257,0.892,-7.446,20.02,-9.338,0
0.584,-0.346,0.864,-11.719,22.705,-2.258,0
0.534,-0.416,0.86,-9.827,15.32,-4.517,0
0.558,-0.341,0.82,0.977,4.822,-6.409,0
0.589,-0.379,0.791,4.944,0.977,-3.357,0
0.603,-0.396,0.768,7.507,-0.427,-3.174,0
0.575,-0.314,0.741,11.536,0.427,-4.089,0
0.574,-0.29,0.723,10.132,2.075,0.671,0
0.568,-0.301,0.718,4.761,4.272,4.944,0
0.537,-0.317,0.709,1.77,6.531,5.493,0
0.524,-0.312,0.711,2.075,5.31,1.343,0
0.515,-0.28,0.712,3.418,2.014,-2.014,0
0.517,-0.275,0.702,1.282,-1.16,-2.075,0
0.532,-0.307,0.71,-2.136,-4.272,-1.282,0
0.54,-0.321,0.721,-2.991,-6.165,-2.441,0
0.557,-0.318,0.725,-1.526,-6.226,-3.113,0
0.549,-0.325,0.719,0.549,-5.432,-2.686,0
0.526,-0.272,0.722,2.625,-4.272,-2.563,0
0.537,-0.301,0.718,2.93,-3.479,-0.061,0
0.535,-0.26,0.71,2.136,-3.235,1.526,0
0.499,-0.27,0.711,-0.427,-3.479,3.601,0
0.509,-0.271,0.723,-1.831,-7.935,2.869,0
0.526,-0.247,0.712,-2.686,-12.451,1.892,0
0.54,-0.266,0.709,-5.615,-12.024,2.197,0
0.537,-0.268,0.729,-8.362,-11.78,1.526,0
0.564,-0.301,0.729,-8.911,-10.376,1.77,0
1.154,0.856,-0.53,-2.93,40.71,36.987,0
1.167,0.846,-0.561,-11.475,28.748,34.485,0
1.201,0.857,-0.601,-14.282,8.667,27.344,0
1.234,0.852,-0.637,-15.808,-17.883,14.893,0
1.259,0.844,-0.657,-15.32,-49.683,-2.686,0
1.291,0.828,-0.649,-12.817,-85.083,-23.865,0
1.324,0.814,-0.613,-10.315,-121.216,-47.119,0
1.37,0.807,-0.575,-7.446,-155.029,-69.702,0
1.42,0.752,-0.532,-5.554,-183.289,-89.233,0
1.513,0.712,-0.453,-0.488,-203.247,-105.469,0
